No.	NAME	SpMax1_Bh(m)	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax6_Bh(m)	SpMax7_Bh(m)	SpMax8_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax8_Bh(v)	SpMax1_Bh(e)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax6_Bh(e)	SpMax7_Bh(e)	SpMax1_Bh(p)	SpMax5_Bh(p)	SpMax7_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax8_Bh(i)	SpMax2_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin5_Bh(m)	SpMin6_Bh(m)	SpMin7_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin5_Bh(v)	SpMin6_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(e)	SpMin5_Bh(e)	SpMin8_Bh(e)	SpMin1_Bh(p)	SpMin2_Bh(p)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin7_Bh(p)	SpMin8_Bh(p)	SpMin4_Bh(i)	SpMin6_Bh(i)	SpMin7_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
266	Penicillin N	4.14476737069246	3.70442339665418	3.55587690342857	3.36558769499194	2.98212592476515	2.83457659217832	2.78712350170054	3.87728695087425	3.6385097535244	2.56761036123399	4.00603128710468	3.61722354622775	3.46441748070279	3.08160437757469	2.99728709073638	3.89970589653548	2.99631607794567	2.61789507919831	4.03740393441801	3.86384251368051	3.0091518667864	7.60574013158988	7.4230514978832	6.99909734193799	6.99900000000001	4.52452692699458	4.37410058140467	1.99089426150569	1.90287222925284	1.81247268823972	1.67405291816465	1.41678584666846	1.34234212001432	1.26364800388059	1.02343776312767	2.00197686904498	1.39882464245282	1.30812642080203	1.8009206222342	1.73788881714213	1.67434773624242	1.1130366312596	0.785577608491815	2.01477226059137	1.95981753746344	1.81861318909618	1.70124628240648	1.23919507919831	1.23849702093716	1.39050885953501	0.905861514824765	0.803551866786402	1.30384713280171	1.21326417665113	1.17227304702952	0.838307019860552	0.46909628829486	0.461441251153333	0.343981423835757	0.0645412243251582
267	Cefuroxime	4.10785774769047	3.8794739546422	3.5699404038141	3.45589332595596	3.32419375223516	3.04879533803434	2.92070283050708	3.87183066111137	3.76927627879247	2.63793616766748	4.00143441931115	3.62650347171681	3.47319209078502	3.20046068399642	3.16265835526221	3.87740918571962	3.05092807015372	2.89309911718768	4.0253024731935	3.90830991896764	2.94720508297445	7.44357743152357	7.42337444025021	6.99904879858017	5.11417533719701	4.91898677606643	4.83597322908198	1.93254344099312	1.72214706498341	1.65620976107288	1.5918490277671	1.47041806659706	1.38761549697456	1.18878233603462	1.14106569699882	2.03219710624737	1.53589113232081	1.49271905708371	1.886272743695	1.62109781160553	1.49490326856686	1.21072128925909	0.965946018054866	2.05052114943088	1.83236010875471	1.72640316224987	1.58662884442486	1.32046031062761	1.29103927899578	1.35842705941807	1.09740262237179	1.00901625543002	1.30434779762441	0.963470193609886	0.75233594951062	0.576130419791398	0.502776585119726	0.443687523934976	0.147233687845271	0.0375027066709592
268	Cephaloridine	4.22247650654927	4.1075180336273	3.84836659864562	3.53106633829668	3.27855885242529	3.02135979101654	2.68665029941868	3.9102475412308	3.82543621521622	2.71516848112688	4.0290693807564	3.85478355871672	3.56157991255744	3.1926485911325	2.99324596531597	3.93966525508175	3.156317895385	2.84660228022282	4.06589423679775	3.93879260499985	2.92543198099093	7.4327362547866	6.99904905186877	4.80576030971926	4.66185090195849	4.37014910743563	4.01539417127735	2.0410848409593	1.90671487654982	1.76336382871616	1.63750998011057	1.51399150011666	1.26102643082558	1.18054905632457	1.12387831831558	2.08581528906042	1.53895043240983	1.28993113702719	1.93781052945934	1.82951830277825	1.63234512750082	1.40102936777246	0.947254986428625	2.09477622009647	2.00009662889525	1.77387621631277	1.61672924418713	1.19246679814471	1.15058135401619	1.43638901761202	1.03605438052644	1.00211390738376	1.32307017485266	1.1138810491843	0.992462662990586	0.877095385677433	0.650310041762252	0.518712430355865	0.253612857240969	0.21755179917236
269	Cefoxitin	4.22272468385649	4.11093465871689	3.60109369684562	3.4521856032714	3.28583118314151	2.94680524668986	2.9204979687094	3.88564111375707	3.81263788652848	2.63565608233409	4.00588736344418	3.63994079713627	3.45029192471298	3.16956104381841	3.15158536052678	3.93207760424347	3.05383803748878	2.8614024992149	4.02516633312001	3.87525606841204	2.94489833797458	7.443545640915	7.42306793370723	6.99904875832934	4.91953800762176	4.68255438619456	4.64366665114088	1.91767940320787	1.77253619459769	1.66573652616805	1.54231267659389	1.48822967332611	1.37555871888131	1.18426611354099	1.10697212615412	2.02870014263841	1.54199385478872	1.43763138476476	1.88242515922488	1.64091911407389	1.50061708157292	1.22161175456618	0.998802277126168	2.05503377329528	1.81393474390889	1.70719277079465	1.59642579652172	1.30748284645756	1.17077204152436	1.38916934925165	1.03554776625419	1.01054536161693	1.27880948374945	1.0082860835425	0.901909613814115	0.650318331322972	0.564874807064876	0.484273256175608	0.25178521992084	0.109379040178871
270	Cefoxitin	4.22272468385649	4.11093465871689	3.60109369684562	3.4521856032714	3.28583118314151	2.94680524668986	2.9204979687094	3.88564111375707	3.81263788652848	2.63565608233409	4.00588736344418	3.63994079713627	3.45029192471298	3.16956104381841	3.15158536052678	3.93207760424347	3.05383803748878	2.8614024992149	4.02516633312001	3.87525606841204	2.94489833797458	7.443545640915	7.42306793370723	6.99904875832934	4.91953800762176	4.68255438619456	4.64366665114088	1.91767940320787	1.77253619459769	1.66573652616805	1.54231267659389	1.48822967332611	1.37555871888131	1.18426611354099	1.10697212615412	2.02870014263841	1.54199385478872	1.43763138476476	1.88242515922488	1.64091911407389	1.50061708157292	1.22161175456618	0.998802277126168	2.05503377329528	1.81393474390889	1.70719277079465	1.59642579652172	1.30748284645756	1.17077204152436	1.38916934925165	1.03554776625419	1.01054536161693	1.27880948374945	1.0082860835425	0.901909613814115	0.650318331322972	0.564874807064876	0.484273256175608	0.25178521992084	0.109379040178871
271	LY097964	4.21973278526513	4.09789049831299	3.60355633614279	3.44283726041187	3.04987213024724	2.94833635331631	2.72358575444566	3.86862285859116	3.76263494492616	2.5708661851742	3.99261897313478	3.58830971122005	3.42167967176067	3.18955113100315	2.91455769010096	3.88486433843846	2.98681841101246	2.75557847154893	4.0208343933629	3.8807874330742	2.97354323598554	7.43319921856134	6.99904899393841	5.16507750085032	4.90235844421027	4.44994679445794	4.41276232823946	1.94768445105744	1.73361776817565	1.62202042363829	1.51718000500083	1.33685525010478	1.29639161402	1.14338001581233	1.06342347954082	2.03404750936859	1.4950272447728	1.31201593516933	1.88813389586474	1.61356110932705	1.47330675985639	1.18117768545425	0.903143202510609	2.04915778766898	1.81730930204493	1.67000292990316	1.53698715353775	1.25222294651921	1.14380717349419	1.28634655587683	1.0296947646802	0.967345686336635	1.29784570082045	0.945497665113609	0.692460963102019	0.56747776065113	0.499286227097552	0.330886784675317	0.150463673313114	0.0372335930512769
272	Nocardicin B	3.9616445413993	3.87826044742824	3.7433777000871	3.65634526097384	3.32862388412253	3.11657484901515	2.87188553019052	3.90815537220238	3.85230682161025	2.71516848112688	4.0122883080575	3.80780339452814	3.75865612381007	3.36723185017119	3.23816515765686	3.90062956958462	3.27492166431977	2.9541565726897	4.04361317821636	3.9498840779762	3.05267200552614	7.6057576415465	7.42346257126831	6.9990987642545	6.99899999999999	6.54154530723738	6.47065378369043	2.03537812290882	2.00507519970245	1.91455503624945	1.87919389129024	1.51905076871537	1.43678720095208	1.33278477692123	1.18054905632457	2.06311982633141	1.58753366245556	1.50528582401953	1.93480781024835	1.9053358629655	1.74616250691439	1.36668582768545	0.885927737636028	2.08059821417377	2.01305996604999	1.94697430413862	1.91115422404896	1.45774030789438	1.25925208545645	1.64133537335952	1.22558671954012	1.08766058195172	1.27264507557376	1.19879742078304	1.08773563168064	1.06427919078629	0.582405072287936	0.560690708781485	0.366493026441508	0.217551799172361
273	Ceftizoxime	4.21942656031802	4.08751008763318	3.59391097458046	3.4139802165292	3.04731498559378	2.74114661368461	2.6928322339044	3.85094888132067	3.75705885964441	2.39456218925967	3.98102265224362	3.54910547984672	3.40415005775655	3.1346852383917	2.88042312118863	3.87028922848457	2.9851158832	2.53702450617111	4.01008327881908	3.87734876188633	2.71053168276374	7.43319657682118	6.9990489467826	5.16504851107691	4.90234073058725	4.44965837350797	4.4003230768039	1.91960148858119	1.66975327937219	1.58714129513046	1.50307413385995	1.33382867753157	1.14405427899428	1.08065172906859	0.729256219504946	2.02289062075651	1.48693850396668	1.25038582642195	1.86959734451525	1.59704897317721	1.40795009319346	1.1811569255395	0.475463038333781	2.04085736821747	1.80489844489765	1.6135589010461	1.53698402740834	1.24704350720712	0.848519523071779	1.28486728305385	1.00509243045151	0.950796680937529	1.27299023045064	0.842020362251256	0.687631419159159	0.567412549758061	0.330913425463874	0.252644823131008	0.0663091537510731	0
274	Piperacillin	4.14747367936946	3.89421719736887	3.79887396010342	3.55507952938933	3.30784874002252	3.26624232586648	3.10727487869637	3.90576291365569	3.83305131000195	2.95805483823644	4.02553756659074	3.85615932081784	3.61048254970775	3.38560153172837	3.25809229034817	3.91750733373806	3.28901848464909	2.99588743004727	4.05803121869927	3.95901439755947	3.18795649333882	7.49986068228476	7.42589268532611	7.42205196178259	7.3510879206735	6.99904862835926	4.75090129936183	2.03974823719587	1.9320701586941	1.90403909664486	1.81066188870931	1.72616598179221	1.55028338550581	1.41678584666846	1.30701381159644	2.03908961413952	1.71343262025744	1.59600510396907	1.92399735260887	1.76916397940033	1.75449740660539	1.46196290254556	1.06933143824251	2.05137828384432	1.99658549433154	1.96070541438322	1.8103795875056	1.42362619323668	1.341020459568	1.64857071130793	1.30162899644003	1.08250477883766	1.22332862032618	1.19083656990907	1.18004143385602	1.13921784494639	0.917699339124519	0.698682986232826	0.469096288294859	0.455743619146946
275	Aztreonam	4.73920831949908	4.2176513306348	3.75469405226778	3.66122222836587	2.90293464400313	2.85179517536951	2.78095660168247	3.87517056222668	3.76699408720711	2.57123115258423	4.05385572381944	3.71816919707526	3.61297500736627	3.06125440514795	2.98542314311167	3.93528681234826	3.19288154922393	2.61789507919831	4.04865103343607	3.8931821429638	2.98749480434845	7.60876263637613	7.42281370741652	6.99910764520851	6.999	6.999	5.16395521601222	1.95309131320436	1.87571275698614	1.60264797035516	1.41678584666846	1.41350222421412	1.3317858416442	1.10142527968157	0.934996246560752	2.06226703070142	1.5215027170447	1.39097439745416	1.87093717676122	1.67416809121497	1.54920979483033	1.30336816357347	0.915411835320634	2.0664147767932	1.8949376283322	1.73425248404928	1.5445480145428	1.23919507919831	1.18907280969278	1.38970936013092	1.03901099781447	0.882409968735638	1.28255778140192	1.0314159617655	0.697018661981507	0.527676387883291	0.469096288294863	0.358672729776558	0.272956950226902	0
276	Cefoxitin	4.22272468385649	4.11093465871689	3.60109369684562	3.4521856032714	3.28583118314151	2.94680524668986	2.9204979687094	3.88564111375707	3.81263788652848	2.63565608233409	4.00588736344418	3.63994079713627	3.45029192471298	3.16956104381841	3.15158536052678	3.93207760424347	3.05383803748878	2.8614024992149	4.02516633312001	3.87525606841204	2.94489833797458	7.443545640915	7.42306793370723	6.99904875832934	4.91953800762176	4.68255438619456	4.64366665114088	1.91767940320787	1.77253619459769	1.66573652616805	1.54231267659389	1.48822967332611	1.37555871888131	1.18426611354099	1.10697212615412	2.02870014263841	1.54199385478872	1.43763138476476	1.88242515922488	1.64091911407389	1.50061708157292	1.22161175456618	0.998802277126168	2.05503377329528	1.81393474390889	1.70719277079465	1.59642579652172	1.30748284645756	1.17077204152436	1.38916934925165	1.03554776625419	1.01054536161693	1.27880948374945	1.0082860835425	0.901909613814115	0.650318331322972	0.564874807064876	0.484273256175608	0.25178521992084	0.109379040178871
277	Ceftriaxone	4.22115902791079	4.12458064198147	3.92721036290282	3.61368566620565	3.38608004681177	3.34551726337441	3.05144641013599	3.87692291941398	3.76386329454215	2.90994519259092	3.99758191880526	3.76329681330757	3.58114809005233	3.24622599161781	3.20351376061024	3.89703972297893	3.21547478277222	2.98377175820509	4.02428689903054	3.88055883832477	3.17964078552027	7.50134751249747	7.42337469352764	7.35427760320851	6.99904878623764	5.16518396105101	4.90243831101451	1.92663788196335	1.70703688332597	1.67590293234002	1.60565583500357	1.5111676410051	1.38382179020482	1.33439078301171	1.19145793703865	2.02996564167972	1.53316877323389	1.49257130508907	1.88840052566294	1.63009866629386	1.57835225642256	1.30462698572121	1.04633814820353	2.04564814591387	1.86772459697028	1.80792517884668	1.643844950997	1.45818632670954	1.31739029912939	1.42835812024881	1.1016953612501	1.09975779222056	1.3107815010316	0.997683954267831	0.732952927077584	0.692275108758232	0.567712667277676	0.545546495721302	0.330889137183896	0.231799493235293
278	Cefacetrile	4.105221929708	3.62304906248366	3.51829105799965	3.39166788283366	2.98429752383733	2.93709606617526	2.41773913354232	3.8623401271322	3.51486719611779	2.26266440868124	3.987952614297	3.56836822194218	3.43573999496216	3.01098670524588	2.90454595153864	3.87242878608803	2.98683300495863	2.65523024075405	4.01454554989682	3.70818318450721	2.56378020019416	7.43608266359352	7.42327828536782	6.99904903932099	6.81674701320504	4.52019697414346	4.25905037369107	1.93670074667775	1.75307996568853	1.68282733014921	1.58598672791648	1.218563620119	1.11667762924581	0.925096033465633	0.613395750355898	2.03369195257577	1.26463898048676	1.2023050040635	1.88685049188289	1.59666206120768	1.46796979055346	1.01641102275933	0.377592132663473	2.05075549821568	1.81509506138471	1.71644484602097	1.57854484637331	1.12513171132823	0.748591851441202	1.33035446262828	0.828214794686347	0.750941141764215	1.30523119362151	0.971268251860434	0.767571516734408	0.694014351967256	0.48481848094931	0.132876001397038	0	0
279	Cephalosporin C	4.10550145737239	3.70293205317267	3.56773418319367	3.44574320806458	3.27018788832479	2.9788134459366	2.86447948576652	3.86413402768202	3.63889036481751	2.58722831861172	3.99115278382386	3.6344223111587	3.49052519523093	3.14071691438079	3.07657089109608	3.87411385963679	2.99408411448057	2.7745255676407	4.01951721725734	3.86194373683779	3.0451932035113	7.60621983899072	7.43237218598228	7.42306257997853	6.99909692779293	6.99899999999999	4.53182861495814	1.99339894229085	1.92429432787554	1.72397973257261	1.63454413482589	1.33443223959666	1.28582508493678	1.1306589083782	1.07109880820681	2.03958975799718	1.42943092858902	1.3092189081898	1.88835701559029	1.761437680113	1.54532986260266	1.12900756116026	0.785895559976214	2.0545610586323	1.97520310861339	1.78761077126238	1.66901106244078	1.27683100190817	1.23864049306768	1.36294264632123	0.998363297208453	0.905452334969068	1.31879332268909	1.28475574906215	0.965170116482511	0.831896599684081	0.499024817615216	0.34641954159661	0.139589494628915	0.0245499626845814
